library_name,toy_name,toy_type,age_group_labels,request_number,damage_description,status,damage_created_on
Yogita's Toy Library,Magnetic Match-Alphabet Rainbow,Toy,1-3 years | 3-5 years,RQ92475,Damage,PENDING,2026-09-17T11:13:44.575
Yogita's Toy Library,ATV Bike,Big,1-3 years | 3-5 years | 5-8 years,RQ92472,Damage,PENDING,2026-09-17T10:51:50.13
Andheri Hub - Mumbai,Dancing Pup Star Piano,Toy,0-1 years | 1-3 years,RQ92469,Not working,PENDING,2026-09-17T10:43:47.379
Bangalore - Varthur Hub,Dazzling Car,Big,1-3 years | 3-5 years | 5-8 years,RQ92465,s,PENDING,2026-09-17T10:11:22.059
the EleFant Play Arena - Noida,UTV Jeep,Big,1-3 years | 3-5 years | 5-8 years,RQ92463,transfarmer damage,PENDING,2026-09-17T09:50:45.118
Chennai Hub,Magnetic Animals,Toy,1-3 years | 3-5 years,RQ92460,Damage,PENDING,2026-09-17T09:41:10.644
Andheri Hub - Mumbai,Magnetic Funny Creations,Toy,3-5 years | 5-8 years,RQ92447,Pec missing,PENDING,2026-09-17T08:33:37.724
Yogita's Toy Library,Addon,Toy,3-5 years | 5-8 years,RQ92385,Damage ,PENDING,2026-09-16T16:56:51.284
Delhi HUB,Cubes and Bricks,Toy,1-3 years | 3-5 years,RQ92380,Damage ,PENDING,2026-09-16T16:41:04.827
Yogita's Toy Library,Doctor Set Wheel Premium,Toy,3-5 years | 5-8 years,RQ92376,Damage,PENDING,2026-09-16T16:30:13.894
Yogita's Toy Library,Sakara 66 DIY Light,Toy,3-5 years | 5-8 years,RQ92375,Pic's missing,PENDING,2026-09-16T16:29:24.418
Yogita's Toy Library,Bath Blocks,Toy,0-1 years | 1-3 years,RQ92374,Damage,PENDING,2026-09-16T16:27:57.402
Andheri Hub - Mumbai,Blix car-1,Toy,5-8 years | 8-12 years,RQ92373,41 part pec found 35 ,PENDING,2026-09-16T16:23:16.808
Andheri Hub - Mumbai,Crane truck set 9959,Toy,1-3 years | 3-5 years,RQ92372,Blocks missing ,PENDING,2026-09-16T16:17:42.108
Andheri Hub - Mumbai,Montessori Rattles Kit,Toy,0-1 years | 1-3 years,RQ92369,Pec missing,PENDING,2026-09-16T16:13:37.27
Yogita's Toy Library,2 in 1 Triangle Pickler Big,Big,1-3 years | 3-5 years,RQ92365,Damage,PENDING,2026-09-16T15:57:07.104
Bangalore - Varthur Hub,Baby Maestro Touch Piano,Toy,0-1 years | 1-3 years,RQ92353,D,PENDING,2026-09-16T15:05:10.412
Yogita's Toy Library,Abalone,Toy,5-8 years | 8-12 years,RQ92352,D,PENDING,2026-09-16T15:03:58.754
Bangalore - Varthur Hub,Teeth or Treat,Toy,3-5 years | 5-8 years,RQ92351,D,PENDING,2026-09-16T15:02:44.769
Bangalore - Varthur Hub,Unicorn Jewels,Toy,3-5 years | 5-8 years,RQ92350,D,PENDING,2026-09-16T14:59:59.321
Bangalore - Varthur Hub,Kitchen Set Wheel,Toy,3-5 years | 5-8 years,RQ92349,D,PENDING,2026-09-16T14:59:22.921
Bangalore - Varthur Hub,Baby Maestro Touch Piano,Toy,0-1 years | 1-3 years,RQ92348,D,PENDING,2026-09-16T14:59:08.519
Bangalore - Varthur Hub,Big Kitchen Set Trolley,Toy,3-5 years | 5-8 years,RQ92347,D,PENDING,2026-09-16T14:57:35.768
Gurgaon Hub,Wooden Cloud Shape Pop Up Toy,Toy,3-5 years | 5-8 years,RQ92336,3 item missing,PENDING,2026-09-16T13:37:04.464
Hyderabad Hub,Magic car - Panda,Big,1-3 years | 3-5 years | 5-8 years,RQ92335,Handel missing,PENDING,2026-09-16T13:32:39.116
Hyderabad Hub,Shopping List,Toy,3-5 years | 5-8 years,RQ92334,Pisces missing,PENDING,2026-09-16T13:31:07.835
Hyderabad Hub,Premium Quality Wooden Dressing Table CnC,Big,1-3 years | 3-5 years | 5-8 years,RQ92333,Pisces missing,PENDING,2026-09-16T13:29:58.686
Hyderabad Hub,Toddlers Make A Picture,Toy,1-3 years | 3-5 years,RQ92332,Pieces missing,PENDING,2026-09-16T13:28:24.455
Hyderabad Hub,Peek-A-Boo I See You Jungle,Toy,0-1 years | 1-3 years,RQ92331,Quality hishu,PENDING,2026-09-16T13:27:52.815
Hyderabad Hub,PepPlay Doodle Placemats – My First Educational Set,Toy,3-5 years | 5-8 years,RQ92330,Pencils missing,PENDING,2026-09-16T13:24:34.44
Hyderabad Hub,Five-Minute Stories for 3 Year Olds,Books,1-3 years | 3-5 years,RQ92329,Damege,PENDING,2026-09-16T13:22:10.043
Ahmedabad HUB,Roller Coaster,Big,1-3 years | 3-5 years | 5-8 years,RQ92327,damage handale,PENDING,2026-09-16T13:16:04.776
Pune Hub,Mapology- States with Capital,Toy,3-5 years | 5-8 years,RQ92323,Damgad ,PENDING,2026-09-16T13:09:35.46
Ahmedabad HUB,Magnetic Birds and Flowers,Toy,1-3 years | 3-5 years,RQ92321,missing part,PENDING,2026-09-16T13:03:22.304
Ahmedabad HUB,Playshifu Learning Cards -  Ride,Toy,1-3 years | 3-5 years,RQ92320,na,PENDING,2026-09-16T13:01:54.973
Ahmedabad HUB,Hedbandz,Toy,3-5 years,RQ92319,missing coins,PENDING,2026-09-16T12:56:17.057
Ahmedabad HUB,Dinosaur Drop 'N Pop,Toy,0-1 years | 1-3 years,RQ92318,missing ball,PENDING,2026-09-16T12:50:53.056
Ahmedabad HUB,Musical Activity Table,Big,0-1 years | 1-3 years | 3-5 years,RQ92317,damage,PENDING,2026-09-16T12:49:54.469
Andheri Hub - Mumbai,Eduquest snap it cards game,Toy,5-8 years | 8-12 years,RQ92316,42 cards found 41 ,PENDING,2026-09-16T12:38:35.289
Yogita's Toy Library,Big Kitchen Set Trolley,Toy,3-5 years | 5-8 years,RQ92315,Missing ,PENDING,2026-09-16T12:35:23.464
Yogita's Toy Library,Bear Colors Clock,Toy,3-5 years | 5-8 years,RQ92313,Damage ,PENDING,2026-09-16T12:32:40.912
Yogita's Toy Library,Construction Tool Toy (25 Pcs),Toy,1-3 years | 3-5 years,RQ92309,Damage,PENDING,2026-09-16T12:11:25.412
Andheri Hub - Mumbai,Pyramid Blocks - [1706],Toy,3-5 years | 5-8 years,RQ92306,9 pec only ,PENDING,2026-09-16T11:53:02.533
Ahmedabad HUB,Search & Find-Flash Light Magic,Toy,3-5 years | 5-8 years,RQ92305,na,PENDING,2026-09-16T11:47:56.778
Ahmedabad HUB,Search & Find-Flash Light Magic,Toy,3-5 years | 5-8 years,RQ92304,na,PENDING,2026-09-16T11:47:41.119
Ahmedabad HUB,Search & Find-Flash Light Magic,Toy,3-5 years | 5-8 years,RQ92303,na,PENDING,2026-09-16T11:47:14.825
Andheri Hub - Mumbai,Alphabet Magnetic - Upper Case,Toy,1-3 years | 3-5 years,RQ92302,26 alphabet found 25 - O missing ,PENDING,2026-09-16T11:44:49.71
the EleFant Play Arena - Noida,Shap Sorter Tower (1498),Toy,3-5 years | 5-8 years,RQ92301,damage incomplete,PENDING,2026-09-16T11:44:02.014
the EleFant Play Arena - Noida,Table Top Foosball Small,Big,3-5 years | 5-8 years | 8-12 years,RQ92300,damage,PENDING,2026-09-16T11:43:28.016
Ahmedabad HUB,Cylindrical Alphabet Toy,Toy,3-5 years | 5-8 years,RQ92299,na,PENDING,2026-09-16T11:42:11.171
Ahmedabad HUB,Cylindrical Alphabet Toy,Toy,3-5 years | 5-8 years,RQ92298,na,PENDING,2026-09-16T11:41:53.453
Ahmedabad HUB,Cylindrical Alphabet Toy,Toy,3-5 years | 5-8 years,RQ92297,na,PENDING,2026-09-16T11:41:35.845
Ahmedabad HUB,City Traffic Beaded Building Block,Toy,1-3 years | 3-5 years,RQ92296,na,PENDING,2026-09-16T11:39:25.408
Ahmedabad HUB,City Traffic Beaded Building Block,Toy,1-3 years | 3-5 years,RQ92295,na,PENDING,2026-09-16T11:39:01.962
Ahmedabad HUB,City Traffic Beaded Building Block,Toy,1-3 years | 3-5 years,RQ92294,na,PENDING,2026-09-16T11:38:39.472
Ahmedabad HUB,City Traffic Beaded Building Block,Toy,1-3 years | 3-5 years,RQ92293,na,PENDING,2026-09-16T11:38:19.331
Andheri Hub - Mumbai,Magnetic Learning Centre,Toy,3-5 years,RQ92292,Magnetic bord missing ,PENDING,2026-09-16T11:25:40.661
Andheri Hub - Mumbai,Scavenger Hunt,Toy,5-8 years | 8-12 years,RQ92184,missing part,PENDING,2026-09-15T18:50:40.035
Gurgaon Hub,The Clever Caterpillar,Toy,1-3 years | 3-5 years,RQ92174,12 parts missing,PENDING,2026-09-15T18:22:01.712
Gurgaon Hub,ELC Shape Sorting Bus-Red,Toy,0-1 years | 1-3 years,RQ92172,tyre item missing ,PENDING,2026-09-15T18:05:26.925
Hyderabad Hub,Search & Find-Flash Light Magic,Toy,3-5 years | 5-8 years,RQ92171,Pen missing,PENDING,2026-09-15T17:53:18.38
Hyderabad Hub,ATV Bike,Big,1-3 years | 3-5 years | 5-8 years,RQ92170,Damage,PENDING,2026-09-15T17:52:33.873
Hyderabad Hub,Activity Ring,Big,0-1 years | 1-3 years | 3-5 years | 5-8 years,RQ92169,Pieces missing,PENDING,2026-09-15T17:51:38.325
Hyderabad Hub,Electric Jeep,Big,1-3 years | 3-5 years | 5-8 years,RQ92166,Not working,PENDING,2026-09-15T17:45:50.643
Hyderabad Hub,Magplay Tiles,Toy,3-5 years | 5-8 years,RQ92165,Pisces missing,PENDING,2026-09-15T17:42:48.789
Hyderabad Hub,Sports Car,Big,1-3 years | 3-5 years | 5-8 years,RQ92164,Not working,PENDING,2026-09-15T17:41:45.935
Hyderabad Hub,Wooden Bread Pop-up Toaster Toy,Toy,1-3 years | 3-5 years,RQ92162,Quality hishu,PENDING,2026-09-15T17:37:35.444
Hyderabad Hub,Melody Funfair,Toy,0-1 years | 1-3 years,RQ92160,2 PISCES MISSING,PENDING,2026-09-15T17:30:12.827
Hyderabad Hub,Strike 7,Toy,5-8 years | 8-12 years,RQ92159,1 Pisce missing,PENDING,2026-09-15T17:25:14.832
Hyderabad Hub,NE SS OP Magic Gears,Toy,0-1 years | 1-3 years,RQ92157,Pisces missing,PENDING,2026-09-15T17:23:35.18
Gurgaon Hub,Stacking Pots,Toy,0-1 years | 1-3 years,RQ92148,PART MISSING,PENDING,2026-09-15T16:38:36.548
Pune Hub,Castle swing,Big,1-3 years | 3-5 years,RQ92139,Nut missing ,PENDING,2026-09-15T15:45:09.104
Gurgaon Hub,Search and Find Megapack,Toy,3-5 years | 5-8 years,RQ92135,ALL ITEM MISSING...,PENDING,2026-09-15T15:37:50.312
Gurgaon Hub,Puppy Sit On,Toy,0-1 years | 1-3 years,RQ92132,2 PIC MISSING,PENDING,2026-09-15T15:32:19.364
Andheri Hub - Mumbai,Town House Set-1,Toy,3-5 years | 5-8 years,RQ92129,8 windows found 5 ,PENDING,2026-09-15T15:22:40.644
Ahmedabad HUB,Magplay Tiles,Toy,3-5 years | 5-8 years,RQ92125,missing part,PENDING,2026-09-15T15:13:55.264
Gurgaon Hub,Learning Musical Playmat - Anatomy,Toy,3-5 years | 5-8 years,RQ92124,SOUND NOT WORKING...,PENDING,2026-09-15T15:08:10.531
Gurgaon Hub,First Magnetic Puzzles Activity Box : Vehicles,Toy,1-3 years | 3-5 years,RQ92123,8 piece missing,PENDING,2026-09-15T15:03:39.714
Gurgaon Hub,Number & Color Wooden Puzzle,Toy,1-3 years | 3-5 years,RQ92122,4 PIC MISSING ,PENDING,2026-09-15T15:03:04.012
the EleFant Play Arena - Noida,NE TZ PULL ALONG DINO WT SHAPE SORTER,Toy,0-1 years | 1-3 years,RQ92120,tail and neck damage,PENDING,2026-09-15T14:50:56.715
Ahmedabad HUB,Magplay Tiles,Toy,3-5 years | 5-8 years,RQ92118,missing part,PENDING,2026-09-15T14:42:20.051
Yogita's Toy Library,Learning Pyramid with Interactive Play,Toy,0-1 years | 1-3 years,RQ92111,Not working ,PENDING,2026-09-15T14:25:58.045
Pune Hub,Super Bike,Big,3-5 years | 5-8 years,RQ92110,Accelerator not working,PENDING,2026-09-15T14:22:38.663
Ahmedabad HUB,Sports Car,Big,1-3 years | 3-5 years | 5-8 years,RQ92109,damage        ,PENDING,2026-09-15T14:22:37.411
Pune Hub,Beware of the Shark,Toy,5-8 years | 8-12 years,RQ92108,4pcs missing ,PENDING,2026-09-15T14:20:58.976
Yogita's Toy Library,PEPPLAY MY FIRST TOUCH & FEEL PUZZLES - FARM ANIMALS,Toy,0-1 years | 1-3 years,RQ92106,Damage ,PENDING,2026-09-15T14:18:56.361
Andheri Hub - Mumbai,Doctor Set Wheel Premium,Toy,3-5 years | 5-8 years,RQ92105,2 pec missing,PENDING,2026-09-15T14:17:41.324
Yogita's Toy Library,Memory Skills,Toy,3-5 years | 5-8 years,RQ92104,Missing ,PENDING,2026-09-15T14:17:02.049
Ahmedabad HUB,Classic Ball Slider,Toy,0-1 years | 1-3 years,RQ92103,missing ball,PENDING,2026-09-15T14:11:09.7
Delhi HUB,Montessori mini switch busy board V4,Toy,1-3 years | 3-5 years,RQ92102,DAMAGE,PENDING,2026-09-15T14:07:35.849
Nagpur Hub,Sports Car,Big,1-3 years | 3-5 years | 5-8 years,RQ92097,Car damge,PENDING,2026-09-15T13:48:22.586
Chennai Hub,Sports Car,Big,1-3 years | 3-5 years | 5-8 years,RQ92083,Damage,PENDING,2026-09-15T12:52:56.135
Yogita's Toy Library,Premium Wooden Little Dentist Pro Kit,Toy,3-5 years | 5-8 years,RQ92054,Missing ,PENDING,2026-09-15T10:56:59.439
Yogita's Toy Library,Object Matching,Toy,1-3 years | 3-5 years,RQ92053,Missing ,PENDING,2026-09-15T10:55:59.698
Yogita's Toy Library,SMARTPHONE,Toy,0-1 years | 1-3 years,RQ92050,Damage ,PENDING,2026-09-15T10:47:55.393
the EleFant Play Arena - Noida,Premium Wooden Junior Physician Set,Toy,3-5 years | 5-8 years,RQ92048,damage,PENDING,2026-09-15T10:42:14.709
Bangalore - Varthur Hub,PepPlay MY FIRST TOUCH & FEEL PUZZLES - WILD ANIMALS,Toy,0-1 years | 1-3 years,RQ92042,ds,PENDING,2026-09-15T10:14:24.777
Bangalore - Varthur Hub,NE ROWAN SCOOTY PINK,Big,1-3 years | 3-5 years | 5-8 years,RQ92041,s,PENDING,2026-09-15T10:14:06.935
Bangalore - Varthur Hub,Super Bike,Big,3-5 years | 5-8 years,RQ92040,d,PENDING,2026-09-15T10:13:57.085
the EleFant Play Arena - Noida,Sports Car,Big,1-3 years | 3-5 years | 5-8 years,RQ92025,handle damage,PENDING,2026-09-15T09:01:33.549
Gurgaon Hub,Tumble tree,Toy,3-5 years | 5-8 years,RQ91941,"ONLY 1 PIECE RECEIVED
BOX AND ALL ITEM NOT RECIVED",PENDING,2026-09-14T18:38:48.378
Gurgaon Hub,Legend Magnetic Chess Jumbo,Toy,5-8 years | 8-12 years,RQ91939,1 PIC MISSING ( PAWN ),PENDING,2026-09-14T18:34:00.409
Gurgaon Hub,Complete Kitchen Set,Toy,1-3 years | 3-5 years,RQ91938,"This is broken 
1 mixer pot missing 
1 plate missing",PENDING,2026-09-14T18:23:50.171
Ahmedabad HUB,Ranger Scooter,Big,3-5 years | 5-8 years | 8-12 years,RQ91928,DAMAGE SCOOTER,PENDING,2026-09-14T17:14:29.392
Ahmedabad HUB,Ranger Scooter,Big,3-5 years | 5-8 years | 8-12 years,RQ91927,DAMAGE RANGER SCOOTER,PENDING,2026-09-14T17:13:51.627
Ahmedabad HUB,Ranger Scooter,Big,3-5 years | 5-8 years | 8-12 years,RQ91926,RANGER DAMAGE MISSING TYARE ,PENDING,2026-09-14T17:13:20.944
Ahmedabad HUB,Ranger Scooter,Big,3-5 years | 5-8 years | 8-12 years,RQ91925,DAMAGE RENAGER SCOOTER,PENDING,2026-09-14T17:12:42.425
Ahmedabad HUB,Ranger Scooter,Big,3-5 years | 5-8 years | 8-12 years,RQ91924,DAMAGE,PENDING,2026-09-14T17:12:10.546
Hyderabad Hub,Tumble tree,Toy,3-5 years | 5-8 years,RQ91910,Pieces missing,PENDING,2026-09-14T15:22:32.697
Hyderabad Hub,Electric Jeep,Big,1-3 years | 3-5 years | 5-8 years,RQ91908,Damage,PENDING,2026-09-14T15:20:51.748
Hyderabad Hub,3D Shape Sorter Fruits,Toy,0-1 years | 1-3 years,RQ91906,Tree stand missing,PENDING,2026-09-14T15:18:23.411
Hyderabad Hub,ELC Shape Sorting Bus-Red,Toy,0-1 years | 1-3 years,RQ91905,Boxes missing,PENDING,2026-09-14T15:16:20.911
Hyderabad Hub,"Trampoline -36""",Big,1-3 years | 3-5 years | 5-8 years,RQ91904,Not working,PENDING,2026-09-14T15:14:27.714
Hyderabad Hub,Musical stacker,Toy,0-1 years | 1-3 years,RQ91903,Not working,PENDING,2026-09-14T15:11:50.42
Gurgaon Hub,Hungry Hungry Hippos,Toy,5-8 years | 8-12 years,RQ91898,"12 Plastic Marble Storage
",PENDING,2026-09-14T14:42:47.336
Ahmedabad HUB,Dinosaur Drop 'N Pop,Toy,0-1 years | 1-3 years,RQ91895,DAMGE,PENDING,2026-09-14T14:30:42.842
Ahmedabad HUB,6-In-1 Live Band,Toy,0-1 years | 1-3 years,RQ91893,MISSING UMBRELLA,PENDING,2026-09-14T14:26:48.357
Ahmedabad HUB,PepPlay Doodle Placemats Travel Set - Superheroes & Monster,Toy,3-5 years | 5-8 years,RQ91892,DAMAGE,PENDING,2026-09-14T14:25:51.096
Ahmedabad HUB,Skill Games,Toy,5-8 years | 8-12 years,RQ91891,MISSING PEN,PENDING,2026-09-14T14:23:19.596
Gurgaon Hub,Jazz Drum Set with Stool,Toy,1-3 years | 3-5 years,RQ91889,"Drum stand missing 
And drum stick missing ",PENDING,2026-09-14T14:12:49.856
Ahmedabad HUB,Kats Air Hockey Big,Big,3-5 years | 5-8 years | 8-12 years,RQ91883,DAMAGE HOCKEY,PENDING,2026-09-14T14:03:41.408
Yogita's Toy Library,Giant Blocks (50) Pcs - [1732],Toy,3-5 years | 5-8 years,RQ91876,Pic's missing,PENDING,2026-09-14T13:30:07.82
Delhi HUB,Magnetic roundel 36,Toy,3-5 years | 5-8 years,RQ91870,DAMAGE,PENDING,2026-09-14T13:06:50.244
Delhi HUB,Montessori Rattles Kit,Toy,0-1 years | 1-3 years,RQ91867,DAMAGE,PENDING,2026-09-14T13:03:49.065
Ahmedabad HUB,Montessori Rattles Kit,Toy,0-1 years | 1-3 years,RQ91859,DAMAGE,PENDING,2026-09-14T12:35:01.601
